一	いち
一歩間違うと	いっぽまちがうと
一歳	いっさい
一死	いっし
一死報国	いっしほうこく
一死後	いっしご
一段	いったん
一段と	いちだんと
一段上	いちだんうえ
一段動詞	いちだんどうし
一段活用	いちだんかつよう
一段落	いちだんらく
一段落付ける	いちだんらくつける
一殺多生	いっさつたしょう
一殺那	いっせつな
一毛	いちもう
一毛作	いちもうさく
一毫	いちごう
一気	いっき
一気に	いっきに
一気に飲む	いっきにのむ
一気呵成	いっきかせい
一気飲み	いっきのみ
一水	いっすい
一水和物	いっすいわぶつ
一汁一菜	いちじゅういっさい
一汗	ひとあせ
一決	いっけつ
一泊	いっぱく
一泊行軍	いっぱくこうぐん
一泡	ひとあわ
一泡吹かせる	ひとあわふかせる
一泳ぎ	ひとおよぎ
一洗	いっせん
一派	いっぱ
一流	いちりゅう
一流ホテル	いちりゅうホテル
一流大学	いちりゅうだいがく
一浪	いちろう
一渉り	ひとわたり
一渡	ひとわたり
一渡り	ひとわたり
一溜まりもない	ひとたまりもない
一溜まりも無い	ひとたまりもない
一滴	いってき
一瀉千里	いっしゃせんり
一炊の夢	いっすいのゆめ
一点	いってん
一点一画	いってんいっかく
一点大螟蛾	いってんおおめいが
一点張り	いってんばり
一点機	いちてんき
一片	ひとひら
一版	いっぱん
一物	いちぶつ
一物一価の法則	いちぶついっかのほうそく
一犬	いっけん
一献	いっこん
一獲	いっかく
一獲千金	いっかくせんきん
一率に	いちりつに
一理	いちり
一環	いっかん
一瓶	ひとびん
一生	いっしょう
一生けん命	いっしょうけんめい
一生の真盛り	いっしょうのまっさかり
一生不犯	いっしょうふぼん
一生懸命	いっしょうけんめい
一生涯	いっしょうがい
一生面	いちせいめん
一男	いちなん
一画	いっかく
一番	ひとつがい
一番で上がる	いちばんであがる
一番上	いちばんうえ
一番下	いちばんした
一番乗り	いちばんのり
一番出世	いちばんしゅっせ
一番勝負	いちばんしょうぶ
一番多い	いちばんおおい
一番太鼓	いちばんだいこ
一番弟子	いちばんでし
一番手	いちばんて
一番星	いちばんぼし
一番線	いちばんせん
一番茶	いちばんちゃ
一番風呂	いちばんぶろ
一番鶏	いちばんどり
一畳	いちじょう
一疋	いっぴき
一病息災	いちびょうそくさい
一瘤駱駝	ひとこぶらくだ
一癖	ひとくせ
一発	いっぱつ
一発かます	いっぱつかます
一発やる	いっぱつやる
一発勝負	いっぱつしょうぶ
一発回答	いっぱつかいとう
一発屋	いっぱつや
一発必中	いっぱつひっちゅう
一発抜く	いっぱつぬく
一発放つ	いっぱつはなつ
一発逆転	いっぱつぎゃくてん
一皮	ひとかわ
一皮剥く	ひとかわむく
一皿	ひとさら
一盗二婢	いっとうにひ
一盛り	ひともり
一目	ひとめ
一目十行	いちもくじゅうぎょう
一目惚れ	ひとめぼれ
一目散	いちもくさん
一目散に	いちもくさんに
一目瞭然	いちもくりょうぜん
一目置く	いちもくおく
一目見る	ひとめみる
一直	いっちょく
一直線	いっちょくせん
一眠	いちみん
一眠り	ひとねむり
一眸	いちぼう
一眼	いちがん
一眼レフ	いちがんレフ
一眼レフカメラ	いちがんレフカメラ
一着	いっちゃく
一睡	ひとねむり
一睡もしなかった	いっすいもしなかった
一瞥	いちべつ
一瞬	いっしゅん
一瞬絶句	いっしゅんぜっく
一瞬間	いっしゅんかん
一矢	いっし
一矢を報いる	いっしをむくいる
一知半解	いっちはんかい
一石	いっこく
一石二鳥	いっせきにちょう
一礼	いちれい
一神教	いっしんきょう
一神論	いっしんろん
一票	いっぴょう
一私人	いちしじん
一秒	いちびょう
一種	いっしゅ
一稼ぎ	ひとかせぎ
一穴	ひとつあな
一端	いっぱし
一笑	いっしょう
一笑に付す	いっしょうにふす
一笑に付する	いっしょうにふする
一笑千金	いっしょうせんきん
一筆	いっぴつ
一筆啓上	いっぴつけいじょう
一筆書き	ひとふでがき
一筆書く	ひとふでかく
一等	いっとう
一等兵	いっとうへい
一等卒	いっとうそつ
一等国	いっとうこく
一等地	いっとうち
一等星	いっとうせい
一等最初	いっとうさいしょ
一等航海士	いっとうこうかいし
一等親	いっとうしん
一等賞	いっとうしょう
一等車	いっとうしゃ
一等軍曹	いっとうぐんそう
一等陸士	いっとうりくし
一筋	ひとすじ
一筋の希望の光	ひとすじのきぼうのひかり
一筋の涙	ひとすじのなみだ
一筋縄	ひとすじなわ
一筋縄ではいかない	ひとすじなわではいかない
一筋縄では行かない	ひとすじなわではいかない
一筋繩	ひとすじなわ
一筋道	ひとすじみち
一策	いっさく
一箇	いっこ
一箇年	いっかねん
一箇所	いっかしょ
一箇月	いっかげつ
一管	いっかん
一箱	ひとはこ
一節	いっせつ
一節切り	ひとよぎり
一節歌う	ひとふしうたう
一篇	いっぺん
一籌	いっちゅう
一籌を輸する	いっちゅうをゆする
一粒	ひとつぶ
一粒万倍	いちりゅうまんばい
一粒子既約	いちりゅうしきやく
一粒種	ひとつぶだね
一粒選り	ひとつぶえり
一糸	いっし
一糸まとわぬ	いっしまとわぬ
一糸も纏わず	いっしもまとわず
一糸一毫	いっしいちごう
一糸乱れず	いっしみだれず
一糸纏わず	いっしまとわず
一系	いっけい
一紙半銭	いっしはんせん
一級	いっきゅう
一級品	いっきゅうひん
一絃琴	いちげんきん
一組	ひとくみ
一結び	ひとむすび
一統	いっとう
一続き	ひとつづき
一網打尽	いちもうだじん
一緒	いっしょ
一緒くた	いっしょくた
一緒に	いっしょに
一緒にする	いっしょにする
一線	いっせん
一編	いっぺん
一縷	いちる
一縷の望み	いちるののぞみ
一纏	ひとまとめ
一纏まり	ひとまとまり
一纏め	ひとまとめ
一罰百戒	いちばつひゃっかい
一群	いちぐん
一群の羊	いちぐんのひつじ
一群れ	ひとむれ
一義	いちぎ
一義的	いちぎてき
一羽	いちわ
一翼	いちよく
一考	いっこう
一肌脱ぐ	ひとはだぬぐ
一脈	いちみゃく
一脈相通じる	いちみゃくあいつうじる
一脈相通ずる	いちみゃくあいつうずる
一膳	いちぜん
一膳飯屋	いちぜんめしや
一臂	いっぴ
一致	いっち
一致協力	いっちきょうりょく
一致団結	いっちだんけつ
一致指数	いっちしすう
一致点	いっちてん
一致結束	いっちけっそく
一興	いっきょう
一般	いっぱん
一般に	いっぱんに
一般ピープル	いっぱんピープル
一般人	いっぱんじん
一般会計	いっぱんかいけい
一般会計予算	いっぱんかいけいよさん
一般会計歳出	いっぱんかいけいさいしゅつ
一般化	いっぱんか
一般医	いっぱんい
一般協定	いっぱんきょうてい
一般取引条件契約書	いっぱんとりひきじょうけんけいやくしょ
一般名	いっぱんめい
一般名詞	いっぱんめいし
一般向き	いっぱんむき
一般向け	いっぱんむけ
一般命令演算機構	いっぱんめいれいえんざんきこう
一般均衡理論	いっぱんきんこうりろん
一般大衆	いっぱんたいしゅう
一般官庁	いっぱんかんちょう
一般席	いっぱんせき
一般幕僚	いっぱんばくりょう
一般式	いっぱんしき
一般性	いっぱんせい
一般意味論	いっぱんいみろん
一般意志	いっぱんいし
一般投票	いっぱんとうひょう
一般教書	いっぱんきょうしょ
一般教育	いっぱんきょういく
一般教養	いっぱんきょうよう
一般概念	いっぱんがいねん
一般歳出	いっぱんさいしゅつ
一般法	いっぱんほう
一般消費税	いっぱんしょうひぜい
一般特恵関税	いっぱんとっけいかんぜい
一般生活	いっぱんせいかつ
一般的	いっぱんてき
一般的なルールとして	いっぱんてきなルールとして
一般相対性理論	いっぱんそうたいせいりろん
一般相対論	いっぱんそうたいろん
一般社会	いっぱんしゃかい
一般税率	いっぱんぜいりつ
一般競争入札	いっぱんきょうそうにゅうさつ
一般職	いっぱんしょく
一般角	いっぱんかく
一般論	いっぱんろん
一般責任	いっぱんせきにん
一般質問	いっぱんしつもん
一艘	いっそう
一色	いっしょく
一芝居	ひとしばい
一花	ひとはな
一芸	いちげい
一芸に秀でる	いちげいにひいでる
一芸一能	いちげいいちのう
一芸入試	いちげいにゅうし
一苦労	ひとくろう
一茎	いっけい
一荒れ	ひとあれ
一荘	いいちゃん
一荷	いっか
一菊	いっきく
一葉	いちよう
一葉楓	ひとつばかえで
一葦	いちい
一蓮托生	いちれんたくしょう
一虚一実	いっきょいちじつ
一行	いちぎょう
一行知識	いちぎょうちしき
一衣帯水	いちいたいすい
一袋	ひとふくろ
一要素	いちようそ
一見	いちげん
一見さん	いちげんさん
一見に値する	いっけんにあたいする
一見の客	いちげんのきゃく
一見客	いちげんきゃく
一見識	いちけんしき
一視同人	いっしどうじん
一視同仁	いっしどうじん
一覧	いちらん
一覧払い手形	いちらんばらいてがた
一覧表	いちらんひょう
一親等	いっしんとう
一角	ひとかど
一角の人物	ひとかどのじんぶつ
一角サイ	いっかくさい
一角犀	いっかくさい
一角獣	いっかくじゅう
一角獣座	いっかくじゅうざ
一触即発	いっしょくそくはつ
一言	ひとこと
一言も言わず	ひとこともいわず
一言一句	いちごんいっく
一言一行	いちげんいっこう
一言二言	ひとことふたこと
一言二言言う	ひとことふたこという
一言半句	いちげんはんく
一言居士	いちげんこじ
一言隻句	いちごんせきく
一計	いっけい
一語	いちご
一語一句	いちごいっく
一語一語	いちごいちご
一説	いっせつ
一読	いちどく
一読の価値がある	いちどくのかちがある
一読の価値が有る	いちどくのかちがある
一読三嘆	いちどくさんたん
一読三歎	いちどくさんたん
一読呆然	いちどくぼうぜん
一諾	いちだく
一諾千金	いちだくせんきん
一議	いちぎ
一財産	いっざいさん
一貫	いっかん
一貫して	いっかんして
一貫作業	いっかんさぎょう
一貫性	いっかんせい
一貫教育校	いっかんきょういくこう
一貫番号	いっかんばんごう
一走り	ひとはしり
一足	ひとあし
一足先	ひとあしさき
一足違い	ひとあしちがい
一足飛び	いっそくとび
一路	いちろ
一路平安	いちろへいあん
一路順風	いちろじゅんぷう
一蹴	いっしゅう
一蹴り	ひとけり
一躍	いちやく
一身	いっしん
一身上	いっしんじょう
一身上の都合	いっしんじょうのつごう
一軍	いちぐん
一軍を率いて	いちぐんをひきいて
一軒	いっけん
一軒一軒	いっけんいっけん
一軒家	いっけんや
一軒屋	いっけんや
一軒置いて隣	いっけんおいてとなり
一転	いってん
一転機	いってんき
一輛	いちりょう
一輪	いちりん
一輪挿	いちりんざし
一輪挿し	いちりんざし
